,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,34.02,95,100,31.09,GL,1600225200
1,Yokadouma,3.5167,15.05,69.49,96,74,2.57,CM,1600225200
2,Albany,42.6001,-73.9662,49.59,70,25,2.59,US,1600225200
3,Bluff,-46.6,168.3333,50.74,79,100,33.04,NZ,1600225200
4,Kysyl-Syr,63.8986,122.7617,54.3,76,7,4.23,RU,1600225200
5,Homer,59.6425,-151.5483,52.9,77,90,9.48,US,1600225200
6,Fuerte Olimpo,-21.0415,-57.8738,75.7,49,19,2.15,PY,1600225200
7,Muyezerskiy,63.9333,31.65,39.7,91,76,2.44,RU,1600225200
8,Puerto Ayora,-0.7393,-90.3518,66.7,89,69,9.8,EC,1600225200
9,Ushuaia,-54.8,-68.3,32.65,95,23,4.36,AR,1600225200
10,Hoshcha,50.6003,26.6744,58.71,79,46,4.88,UA,1600225200
11,North Bend,43.4065,-124.2243,64.51,87,76,1.79,US,1600225200
12,Rikitea,-23.1203,-134.9692,74.07,71,2,0.4,PF,1600225200
13,Butaritari,3.0707,172.7902,83.84,73,73,16.98,KI,1600225200
14,Norden,53.6,7.2,65.3,89,54,7.16,DE,1600225200
15,Lebu,-37.6167,-73.65,49.87,95,94,2.35,CL,1600225200
16,Busselton,-33.65,115.3333,61.16,65,47,12.26,AU,1600225200
17,Norman Wells,65.282,-126.8329,44.55,72,45,4.83,CA,1600225200
18,Mataura,-46.1927,168.8643,50.04,86,100,11.86,NZ,1600225200
19,Kumul,42.8,93.45,73.33,20,99,6.76,CN,1600225200
20,Cape Town,-33.9258,18.4232,52.34,82,3,8.34,ZA,1600225200
21,Atuona,-9.8,-139.0333,78.44,75,5,17.52,PF,1600225200
22,Christiana,-27.914,25.1611,52.93,33,66,3.36,ZA,1600225200
23,Kapaa,22.0752,-159.319,81.37,63,10,9.82,US,1600225200
24,Colgong,25.2667,87.2167,85.78,83,100,8.75,IN,1600225200
25,Salinópolis,-0.6136,-47.3561,79.57,83,33,11.88,BR,1600225200
26,San Cristobal,7.7669,-72.225,68.29,90,96,2.13,VE,1600225200
27,Arraial do Cabo,-22.9661,-42.0278,70.61,90,75,12.91,BR,1600225200
28,Palu,-0.8917,119.8707,84.94,72,93,1.88,ID,1600225200
29,Hilo,19.7297,-155.09,78.91,61,41,6.69,US,1600225200
30,Los Llanos de Aridane,28.6585,-17.9182,74.26,78,99,15.19,ES,1600225200
31,Airai,-8.9266,125.4092,77.68,39,51,4.65,TL,1600225200
32,Sivas Province,39.7916,37.0019,47.64,76,0,2.53,TR,1600225200
33,Mar del Plata,-38.0023,-57.5575,49.17,75,30,11.34,AR,1600225200
34,Coquimbo,-29.9533,-71.3436,52.88,80,47,4.72,CL,1600225200
35,Sinnamary,5.3833,-52.95,77.22,87,85,3.56,GF,1600225200
36,Port Hardy,50.6996,-127.4199,62.2,85,52,8.84,CA,1600225200
37,Rocha,-34.4833,-54.3333,48.69,83,84,3.69,UY,1600225200
38,Dikson,73.5069,80.5464,42.49,94,98,16.22,RU,1600225200
39,Kiryat Gat,31.61,34.7642,73.6,83,1,3.67,IL,1600225200
40,Bengkulu,-3.8004,102.2655,77.52,84,93,2.01,ID,1600225200
41,Gemünden am Main,50.05,9.7,63.64,74,58,1.19,DE,1600225200
42,Hualmay,-11.0964,-77.6139,60.21,83,41,8.03,PE,1600225200
43,Nome,64.5011,-165.4064,49.01,88,95,17.96,US,1600225200
44,Yar-Sale,66.8333,70.8333,50.92,87,96,7.61,RU,1600225200
45,Vila Velha,-20.3297,-40.2925,72.61,86,45,5.73,BR,1600225200
46,Hobart,-42.8794,147.3294,57.87,51,87,9.69,AU,1600225200
47,Aklavik,68.2191,-135.0107,43.43,73,82,9.15,CA,1600225200
48,Ilulissat,69.2167,-51.1,40.51,69,100,6.02,GL,1600225200
49,George Town,5.4112,100.3354,83.91,76,30,2.95,MY,1600225200
50,Avarua,-21.2078,-159.775,74.89,74,62,14.52,CK,1600225200
51,Umm Kaddadah,13.6017,26.6876,86.13,48,0,7.47,SD,1600225200
52,Polyarny,69.1989,33.4478,40.66,90,41,7.58,RU,1600225200
53,Castro,-24.7911,-50.0119,54.84,89,73,5.59,BR,1600225200
54,Bang Saphan,11.2126,99.5117,85.8,78,31,4.16,TH,1600225200
55,Vaini,-21.2,-175.2,73.56,77,41,24.0,TO,1600225200
56,Bathsheba,13.2167,-59.5167,82.83,77,53,15.57,BB,1600225200
57,Kloulklubed,7.0419,134.2556,84.63,78,72,9.31,PW,1600225200
58,Saint George,37.1041,-113.5841,86.31,13,1,4.5,US,1600225200
59,Kupang,-10.1667,123.5833,88.84,41,57,5.57,ID,1600225200
60,Bom Jesus do Galho,-19.8289,-42.3161,69.06,70,31,3.87,BR,1600225200
61,Ternate,0.8,127.4,77.65,86,100,6.87,ID,1600225200
62,Geraldton,-28.7667,114.6,67.28,61,54,22.03,AU,1600225200
63,Northam,51.0333,-4.2167,60.12,95,56,4.83,GB,1600225200
64,São Filipe,14.8961,-24.4956,79.59,82,62,7.31,CV,1600225200
65,Port Elizabeth,-33.918,25.5701,54.5,88,38,7.18,ZA,1600225200
66,Antofagasta,-23.65,-70.4,56.21,77,57,5.68,CL,1600225200
67,Clyde River,70.4692,-68.5914,33.48,93,85,7.74,CA,1600225200
68,Iquitos,-3.7481,-73.2472,72.64,97,100,2.84,PE,1600225200
69,Coralville,41.6764,-91.5805,64.15,81,1,7.49,US,1600225200
70,Vilhena,-12.7406,-60.1458,76.46,27,9,2.48,BR,1600225200
71,Narsaq,60.9167,-46.05,43.68,80,100,16.04,GL,1600225200
72,Tezu,27.9167,96.1667,74.7,87,100,1.63,IN,1600225200
73,Peterongan,-7.5394,112.2792,91.02,51,85,6.6,ID,1600225200
74,Saint-Pierre,-21.3393,55.4781,67.77,59,75,3.71,RE,1600225200
75,Xiuyan,40.2928,123.2744,74.16,73,26,10.0,CN,1600225200
76,Tamworth,52.634,-1.6959,62.8,76,74,5.97,GB,1600225200
77,San Quintín,30.4833,-115.95,80.13,47,0,8.86,MX,1600225200
78,Mastung,29.7994,66.845,70.95,46,91,4.83,PK,1600225200
79,Upernavik,72.7868,-56.1549,27.0,86,1,10.83,GL,1600225200
80,Cockburn Town,21.4612,-71.1419,83.5,77,59,12.39,TC,1600225200
81,Pachino,36.7186,15.0907,76.93,70,100,14.58,IT,1600225200
82,Moranbah,-22.0016,148.0466,78.35,52,34,16.98,AU,1600225200
83,Hithadhoo,-0.6,73.0833,81.68,71,87,8.57,MV,1600225200
84,Qaanaaq,77.484,-69.3632,19.26,77,0,7.25,GL,1600225200
85,Jega,12.2175,4.3792,77.07,82,99,8.14,NG,1600225200
86,Iqaluit,63.7506,-68.5145,34.27,85,46,13.24,CA,1600225200
87,Cidreira,-30.1811,-50.2056,59.72,87,100,17.74,BR,1600225200
88,Henties Bay,-22.116,14.2845,50.99,89,0,9.31,NA,1600225200
89,Valley Station,38.1112,-85.8702,60.82,65,15,3.53,US,1600225200
90,La Rioja,42.25,-2.5,63.28,66,99,4.94,ES,1600225200
91,Riyadh,24.6877,46.7219,81.09,16,0,7.67,SA,1600225200
92,Tuatapere,-46.1333,167.6833,51.91,79,100,17.34,NZ,1600225200
93,Ţahţā,26.7693,31.5021,74.64,49,0,8.19,EG,1600225200
94,Mackenzie,55.2999,-123.1698,50.59,60,15,1.48,CA,1600225200
95,Marang,5.2056,103.2059,85.71,76,42,4.88,MY,1600225200
96,Hermanus,-34.4187,19.2345,50.7,86,8,9.42,ZA,1600225200
97,Māngrol,21.1167,70.1167,82.9,78,94,6.78,IN,1600225200
98,Barrow,71.2906,-156.7887,35.85,87,95,25.52,US,1600225200
99,Yellowknife,62.456,-114.3525,33.17,65,10,5.14,CA,1600225200
100,Fallon,39.4735,-118.7774,81.1,19,46,4.32,US,1600225200
101,Hamilton,39.1834,-84.5333,59.9,80,1,4.12,US,1600225200
102,Pevek,69.7008,170.3133,43.29,79,98,5.66,RU,1600225200
103,Hobyo,5.3505,48.5268,77.02,84,3,19.86,SO,1600225200
104,Gillette,44.2911,-105.5022,69.53,35,36,6.73,US,1600225200
105,Sangar,63.9242,127.4739,54.9,58,0,3.2,RU,1600225200
106,Nikolskoye,59.7035,30.7861,46.24,89,96,3.67,RU,1600225200
107,Port Alfred,-33.5906,26.891,58.03,86,63,5.55,ZA,1600225200
108,Lorengau,-2.0226,147.2712,86.31,69,99,13.47,PG,1600225200
109,Paracatu,-17.2222,-46.8747,66.22,33,0,3.2,BR,1600225200
110,Khorixas,-20.3667,14.9667,43.92,64,0,3.87,NA,1600225200
111,Saskylakh,71.9167,114.0833,53.01,69,89,5.64,RU,1600225200
112,Ostrovnoy,68.0531,39.5131,42.96,79,100,10.4,RU,1600225200
113,Tuktoyaktuk,69.4541,-133.0374,35.47,82,20,12.21,CA,1600225200
114,Talnakh,69.4865,88.3972,55.18,70,94,11.12,RU,1600225200
115,Chaupāl,30.95,77.5833,63.9,82,45,2.66,IN,1600225200
116,Codrington,-38.2667,141.9667,63.12,66,100,9.06,AU,1600225200
